dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_303,4,1,0,0.4518339336,0.5051810145,0.2036848962,0.2042930573,0.820574224,1.083400249,0.9678413272,0.9986344576,0.9621200562,-0.00067076087,0.8111110926,0
NUAA-SIRST,Misc_99,1,1,1,0.6286028624,0.6569259763,0.7467870712,0.7467870712,1.6682688,3.57254982,1.664385557,nan,1.664385557,nan,0.3846153915,0
NUAA-SIRST,Misc_99,2,1,1,0.8051149845,0.7963402867,0.7317686081,0.7306655049,1.124801517,1.588733315,1.65355742,0.9939048886,1.648274779,-0.004286289215,0.3846153915,0
NUAA-SIRST,Misc_99,3,1,0,0.5016054511,0.6556095481,0.6951705217,0.6853304505,0.9496863484,1.345416546,1.305596113,0.9942631721,1.276487827,-0.003383755684,0.3846153915,0
NUAA-SIRST,Misc_99,4,1,0,0.4222843945,0.380952239,0.1992644072,0.2042546123,0.8967971802,0.9376619458,0.9771460295,1.00551939,0.977171123,0.002706497908,0.3846153915,0
NUAA-SIRST,Misc_225,1,1,1,0.3594224453,0.5958191752,0.6891703606,0.6891703606,1.153827071,22.64002609,4.195520401,nan,4.195520401,nan,0.722222209,0
NUAA-SIRST,Misc_225,2,1,1,0.7115577459,0.7090349793,0.7070294619,0.7358760834,2.310014009,2.43253541,2.955987215,1.265292525,3.085230112,0.1448400021,0.722222209,0
NUAA-SIRST,Misc_225,3,1,0,0.6402237415,0.6318961382,0.5433529019,0.5534291267,0.8008728027,1.412944913,1.357223153,0.9944803715,1.326959372,-0.003261804581,0.722222209,0
NUAA-SIRST,Misc_225,4,1,0,0.4660872817,0.5027518868,0.5280808806,0.3226635456,0.8287576437,1.172510743,1.30294466,0.9585241079,1.104911447,-0.02037087083,0.722222209,0
NUAA-SIRST,Misc_317,1,1,1,0.5289049745,0.6255285144,0.6875516176,0.6875516176,3.273328781,16.98856735,8.255764008,nan,8.255764008,nan,0.7195122242,0
NUAA-SIRST,Misc_317,2,1,1,0.836604476,0.8324044943,0.7663145661,0.7646150589,6.074493885,7.765497208,4.389784336,1.020282865,4.268371105,0.01368230581,0.7195122242,0
NUAA-SIRST,Misc_317,3,1,0,0.5712762475,0.5247616768,0.452442497,0.4684779644,0.4341084063,0.8431618214,0.8841273785,1.157252789,0.9510085583,0.08160603046,0.7195122242,0
NUAA-SIRST,Misc_317,4,1,0,0.1342295557,0.5353129506,0.462785989,0.4272456169,0.9996201396,1.271294832,0.8246929049,0.9671592116,0.7952082753,-0.01324334741,0.7195122242,0
NUAA-SIRST,Misc_308,1,1,1,0.4999830723,0.6273067594,0.6108077168,0.6108077168,2.166771173,27.81380081,7.06752491,nan,7.06752491,nan,0.538461566,0
NUAA-SIRST,Misc_308,2,1,1,0.7133437991,0.7386147976,0.6964269876,0.7014036775,2.072244167,2.49230814,2.924755573,1.255569577,3.01444459,0.1392289996,0.538461566,0
NUAA-SIRST,Misc_308,3,1,0,0.6773746014,0.7432647347,0.6757317781,0.6647444963,0.5646575093,1.741552234,1.753956318,1.044704199,1.675448179,0.02641785145,0.538461566,0
NUAA-SIRST,Misc_308,4,1,0,0.4541436434,0.4266670048,0.2235709429,0.235597074,0.8845757246,1.050045371,1.034570575,1.000377893,1.046972275,0.0001856386662,0.538461566,0
NUAA-SIRST,Misc_66,1,1,1,0.6358920336,0.7370866537,0.832238853,0.832238853,2.877184629,4.207683086,2.020994186,nan,2.020994186,nan,0.5,0
NUAA-SIRST,Misc_66,2,1,1,0.8101369739,0.8012980819,0.715636909,0.7164338827,1.054589272,1.511671305,2.041378021,1.071190476,2.151274681,0.0473061204,0.5,0
NUAA-SIRST,Misc_66,3,1,0,0.6514511108,0.52127707,0.4868846536,0.4974990487,1.213383913,1.131107569,1.020652056,0.9800800681,1.007531404,-0.01181787252,0.5,0
NUAA-SIRST,Misc_66,4,1,0,0.4302566648,0.3961974978,0.2034470439,0.2035747468,0.9272775054,0.940423131,0.9586199522,1.004718065,0.9516311288,0.002312391996,0.5,0
NUAA-SIRST,Misc_266,1,1,1,0.6137389541,0.6937120557,0.7668168545,0.7668168545,3.586297512,9.847786903,3.647016764,nan,3.647016764,nan,0.7599999905,0
NUAA-SIRST,Misc_266,2,1,1,0.8000512719,0.7963799834,0.7194404006,0.7152330279,2.610268593,4.078525066,4.260042191,1.022832394,3.982764959,0.01564794779,0.7599999905,0
NUAA-SIRST,Misc_266,3,1,0,0.5791368484,0.4558470547,0.4188993573,0.4373186827,0.9228487015,1.345920563,1.003543377,0.9823672175,1.003743887,-0.01044660807,0.7599999905,0
