dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
IRSTD-1K,XDU9,4,1,0,0.5688127279,0.5061469674,0.4147816598,0.413328439,1.176737905,1.719903708,1.575757027,0.9163094163,1.55024302,-0.0380166173,0,0
IRSTD-1K,XDU219,1,1,1,0.5770539045,0.6806713939,0.7260174155,0.7260174155,2.843495369,11.86804676,4.645124435,nan,4.645124435,nan,0.6521739364,0
IRSTD-1K,XDU219,2,1,1,0.7988246679,0.7710676789,0.673258543,0.6616407037,2.369933367,2.571615458,1.672321916,0.9479947686,1.534314513,-0.03724116087,0.6521739364,0
IRSTD-1K,XDU219,3,1,0,0.6578999758,0.6586541533,0.5983347893,0.5888211727,1.06165719,1.336695194,1.364972234,0.8588316441,1.265363932,-0.08511865139,0.6521739364,0
IRSTD-1K,XDU219,4,1,0,0.6204299927,0.6569342017,0.5451834798,0.5335345864,1.068392634,1.243475437,0.8897795081,0.991596818,0.8776605129,-0.004386425018,0.6521739364,0
IRSTD-1K,XDU674,1,1,1,0.5808555484,0.6465761065,0.6882234216,0.6882234216,1.188683987,4.514948368,2.076498747,nan,2.076498747,nan,0.1428571492,0
IRSTD-1K,XDU674,2,1,1,0.7557489872,0.7273549438,0.6969912648,0.6802421212,1.227924109,1.161583543,1.516898632,0.9955471754,1.441033721,-0.003218591213,0.1428571492,0
IRSTD-1K,XDU674,3,1,0,0.7095125914,0.7019782662,0.6089119315,0.6136629581,0.8904046416,0.8661994934,1.026960254,0.8194116354,0.9113960266,-0.1049788892,0.1428571492,0
IRSTD-1K,XDU674,4,1,0,0.6760069132,0.6898096204,0.603982985,0.5980259776,1.32215488,0.8888667822,0.9352352023,0.9262720942,0.9522016048,-0.0350112915,0.1428571492,0
IRSTD-1K,XDU501,1,1,1,0.5458503366,0.6516909599,0.7344145775,0.7344145775,5.302218437,17.29916763,5.145495892,nan,5.145495892,nan,0.6666666865,0
IRSTD-1K,XDU501,2,1,1,0.7440291047,0.7270631194,0.6768853068,0.6698788404,2.291379452,4.401395321,5.598182201,0.9377672672,5.097967625,-0.0444585681,0.6666666865,0
IRSTD-1K,XDU501,3,1,0,0.614913106,0.609179318,0.5235795379,0.5210274458,0.1601639539,0.9756503105,1.011217237,0.720610261,0.6350145936,-0.1649027765,0.6666666865,0
IRSTD-1K,XDU501,4,1,0,0.6094632149,0.5581681728,0.4923664331,0.487565577,0.6297664046,0.4572993517,0.5403158069,1.076935291,0.555994153,0.04056960344,0.6666666865,0
IRSTD-1K,XDU316,1,1,1,0.5752618313,0.6769092083,0.6955627203,0.6955627203,8.023040771,24.33522797,9.374565125,nan,9.374565125,nan,0.694444418,0
IRSTD-1K,XDU316,2,1,1,0.7898395658,0.776168108,0.6835038662,0.6613036394,2.480871677,4.237008572,3.333197832,0.9759101272,2.807713985,-0.01692861319,0.694444418,0
IRSTD-1K,XDU316,3,1,0,0.6927301884,0.695971489,0.6355859637,0.6316327453,0.4275691807,1.306432486,1.46748054,0.7983433008,1.2254076,-0.1261815429,0.694444418,0
IRSTD-1K,XDU316,4,1,0,0.67649436,0.6891518831,0.5947155952,0.5904155374,0.672626853,0.68735075,0.7930834293,1.061144114,0.7933538556,0.03299331665,0.694444418,0
IRSTD-1K,XDU343,1,1,1,0.6111688614,0.7168819308,0.8024178147,0.8024178147,2.083917618,4.744746208,3.214168072,nan,3.214168072,nan,0,0
IRSTD-1K,XDU343,2,1,1,0.8134289384,0.7843523026,0.7527697086,0.7439758182,1.83089745,1.979024768,1.817768455,0.9366310835,1.703047156,-0.0446537137,0,0
IRSTD-1K,XDU343,3,1,0,0.7456303239,0.7184530497,0.6440281272,0.6322785616,1.64437604,1.4016155,1.559340715,0.7639945745,1.453610659,-0.1273952127,0,0
IRSTD-1K,XDU343,4,1,0,0.5831921697,0.6130024791,0.4700872302,0.4687446058,1.427863121,1.507616878,1.461271048,0.9025072455,1.431394339,-0.04694569111,0,0
IRSTD-1K,XDU885,1,1,1,0.5613183379,0.6969810724,0.7196187377,0.7196187377,7.493846893,28.71831703,12.496315,nan,12.496315,nan,0.4166666567,0
IRSTD-1K,XDU885,2,1,1,0.8141309619,0.8112946153,0.6647914052,0.6392747164,2.203868389,4.248360634,3.168548107,1.003225207,2.8300457,0.002248823643,0.4166666567,0
IRSTD-1K,XDU885,3,1,0,0.7072129846,0.7137684226,0.6216516495,0.6150252223,0.2143426538,0.8231493235,1.106929064,0.6429116726,0.8115231395,-0.2398893535,0.4166666567,0
IRSTD-1K,XDU885,4,1,0,0.6930276155,0.6536740065,0.5332021117,0.528783083,1.230595589,0.9568015933,1.100978136,0.7879270911,1.104592562,-0.1183059216,0.4166666567,0
IRSTD-1K,XDU426,1,1,1,0.4953858852,0.7010406852,0.7826347351,0.7826347351,7.377268314,8.309146881,5.001280308,nan,5.001280308,nan,0.9230769277,0
IRSTD-1K,XDU426,2,1,1,0.8256927729,0.8052953482,0.7458372116,0.7388426065,1.991942763,4.515721321,3.209467173,0.9584876299,2.634685993,-0.02954334021,0.9230769277,0
IRSTD-1K,XDU426,3,1,0,0.6970841885,0.7069783211,0.7131742835,0.6898385286,0.262532711,1.980635047,2.014713287,0.7940698862,1.541537523,-0.1216524243,0.9230769277,0
IRSTD-1K,XDU426,4,1,0,0.6423192024,0.5921962261,0.4708763063,0.4660286903,1.208115339,0.9695847034,0.9279164076,0.8849598169,0.9462394714,-0.05633410811,0.9230769277,0
IRSTD-1K,XDU485,1,1,1,0.4901874959,0.6277961731,0.6349625587,0.6349625587,12.38707733,45.13013458,19.44838142,nan,19.44838142,nan,0.4545454681,0
IRSTD-1K,XDU485,2,1,1,0.7743816376,0.7651153207,0.7101495862,0.6831516623,2.491056442,5.794624805,4.688879967,0.9931917787,4.02793932,-0.0047301054,0.4545454681,0
IRSTD-1K,XDU485,3,1,0,0.7594951391,0.7999482155,0.7281038165,0.7170568705,0.5016481876,3.522047043,2.869093895,0.777707994,2.416439295,-0.1464519501,0.4545454681,0
IRSTD-1K,XDU485,4,1,0,0.6950107813,0.6829460859,0.4954234958,0.4876374006,0.5905105472,0.7582757473,0.9853239655,1.018224835,0.9644257426,0.01024210453,0.4545454681,0
IRSTD-1K,XDU850,1,1,1,0.5924669504,0.7124087811,0.7993488908,0.7993488908,2.355751276,4.551282883,1.725414515,nan,1.725414515,nan,0,1
IRSTD-1K,XDU850,2,1,1,0.8363745809,0.8070134521,0.7344107628,0.7222972512,1.49800384,1.794368982,1.899927616,0.960949719,1.770967603,-0.02712780237,0,1
IRSTD-1K,XDU850,3,1,0,0.6493505836,0.641042769,0.5605383515,0.5504593253,2.53187561,2.815683603,1.862448215,0.8451631665,1.897650003,-0.08110332489,0,1
IRSTD-1K,XDU850,4,1,0,0.576628387,0.5321521759,0.4332163334,0.4289469123,1.302515984,2.031411886,1.731052041,0.8682134748,1.687190056,-0.06341668963,0,1
IRSTD-1K,XDU516,1,1,1,0.5848014951,0.6929687262,0.7502251267,0.7502251267,3.572526217,10.24599361,4.27657032,nan,4.27657032,nan,0.6470588446,0
IRSTD-1K,XDU516,2,1,1,0.8251448274,0.8060648441,0.7490835786,0.7443272471,2.050978422,2.941197872,1.827278614,0.9445524812,1.597981572,-0.03986662626,0.6470588446,0
IRSTD-1K,XDU516,3,1,0,0.7660464048,0.7566207051,0.6853820682,0.6788115501,0.274876684,0.5904225111,0.8948130608,0.8120158911,0.6939623952,-0.1064815521,0.6470588446,0
IRSTD-1K,XDU516,4,1,0,0.6116380692,0.6185618639,0.5062220097,0.5044380426,0.8541783094,0.8261559606,0.8047955036,1.040754199,0.8086752892,0.01977691054,0.6470588446,0
IRSTD-1K,XDU216,1,1,1,0.5838032365,0.7331172228,0.8043697476,0.8043697476,5.894188881,8.61267662,4.502340317,nan,4.502340317,nan,0.571428597,0
IRSTD-1K,XDU216,2,1,1,0.8386691213,0.8305324316,0.7575778961,0.7433075309,1.046966195,1.989214301,2.599887133,1.129799724,2.333940029,0.08295249939,0.571428597,0
IRSTD-1K,XDU216,3,1,0,0.6126802564,0.6029946804,0.5618506074,0.5500996709,0.2133929431,1.08406055,1.448571205,1.091533899,1.226451516,0.04258653522,0.571428597,0
IRSTD-1K,XDU216,4,1,0,0.4368959665,0.4457936585,0.3592828214,0.3568364978,0.8223469257,0.5543863773,0.6214804053,0.9937484264,0.6434119344,-0.00272461772,0.571428597,0
IRSTD-1K,XDU160,1,1,1,0.6364117265,0.7315510511,0.7506978512,0.7506978512,6.501486301,18.02354622,5.584845066,nan,5.584845066,nan,0.4545454681,0
IRSTD-1K,XDU160,2,1,1,0.784624815,0.7767335176,0.728570044,0.7083849907,4.325980663,5.603563786,4.42686367,1.011912942,3.572198153,0.008559286594,0.4545454681,0
IRSTD-1K,XDU160,3,1,0,0.7560539842,0.7106775641,0.5976603031,0.5999450088,0.6241648197,2.23977828,1.395891905,0.6682452559,0.8832114339,-0.2177582681,0.4545454681,0
IRSTD-1K,XDU160,4,1,0,0.7287380099,0.714717567,0.4429459572,0.4645934105,0.8643404841,0.910535574,0.8966197968,1.018664479,0.9122949243,0.01048374176,0.4545454681,0
IRSTD-1K,XDU176,1,1,1,0.5223156214,0.673555553,0.7067439556,0.7067439556,6.324339867,35.35508347,11.11043358,nan,11.11043358,nan,0.400000006,0
IRSTD-1K,XDU176,2,1,1,0.7229830027,0.701495707,0.6738174558,0.6400544047,3.031084061,5.142990589,5.684466839,0.8985986114,4.658117771,-0.07169723511,0.400000006,0
IRSTD-1K,XDU176,3,1,0,0.680808723,0.6764860153,0.583989799,0.5855130553,0.4407731891,1.023092866,1.068182349,0.6588298678,0.7481151223,-0.221716553,0.400000006,0
IRSTD-1K,XDU176,4,1,0,0.6798616052,0.7344369888,0.6601298451,0.6497112513,0.9318922758,0.8690177202,0.8784504533,1.015900493,0.8934907913,0.008978664875,0.400000006,0
IRSTD-1K,XDU504,1,1,1,0.4793994427,0.6278339624,0.7080118656,0.7080118656,13.01063538,26.20478821,10.34490299,nan,10.34490299,nan,0.7058823705,0
IRSTD-1K,XDU504,2,1,1,0.8284951448,0.808351934,0.7594239116,0.7406576276,4.327385902,8.734575272,4.135337353,0.9273204207,3.366704464,-0.05286496878,0.7058823705,0
IRSTD-1K,XDU504,3,1,0,0.5264055133,0.8365712762,0.8154597878,0.8069918156,0.6676530838,3.983347178,2.909821272,0.6953572631,2.200184584,-0.2019374371,0.7058823705,0
IRSTD-1K,XDU504,4,1,0,0.7423476577,0.6755586267,0.4091893733,0.4143044651,0.8172394633,0.9302856922,1.107088566,1.017482281,1.083249092,0.009843587875,0.7058823705,0
IRSTD-1K,XDU883,1,1,1,0.5292361975,0.6334111691,0.7426173091,0.7426173091,1.457812786,6.203069687,3.327138901,nan,3.327138901,nan,1,0
IRSTD-1K,XDU883,2,1,1,0.728007257,0.6961194277,0.6068250537,0.5891670585,2.120252848,2.109894753,1.717146039,0.9923859239,1.716853023,-0.005398929119,1,0
IRSTD-1K,XDU883,3,1,0,0.6791444421,0.6458616853,0.5765460134,0.5749880075,0.4744176567,0.3732919991,0.7961350083,0.870954752,0.5588098764,-0.07208490372,1,0
IRSTD-1K,XDU883,4,1,0,0.6435522437,0.6920081377,0.6086852551,0.6023241282,0.578550756,0.5149821639,0.5933378339,1.133240581,0.6211163402,0.06700742245,1,0
IRSTD-1K,XDU244,1,1,1,0.5871728659,0.7104257345,0.7615615726,0.7615615726,5.555265903,12.34830379,4.116068363,nan,4.116068363,nan,0.6428571343,0
IRSTD-1K,XDU244,2,1,1,0.8161869049,0.7944850326,0.8002530932,0.7972634435,2.352280855,4.2216506,4.39897871,0.9869405627,3.80104804,-0.00935202837,0.6428571343,0
IRSTD-1K,XDU244,3,1,0,0.6849740744,0.6751121879,0.6178950071,0.6056394577,2.555732727,2.790416002,1.822276831,0.7082639337,1.713228106,-0.1772446632,0.6428571343,0
IRSTD-1K,XDU244,4,1,0,0.6283733249,0.6035349965,0.4853721261,0.4811002612,1.770082951,2.160035849,1.766499758,0.8443986177,1.733442187,-0.07862147689,0.6428571343,0
IRSTD-1K,XDU919,1,1,1,0.5718379021,0.6950380802,0.6826786995,0.6826786995,5.990929127,35.84107971,11.59638786,nan,11.59638786,nan,0.5185185075,0
IRSTD-1K,XDU919,2,1,1,0.7980008125,0.8003497124,0.732503891,0.7149444222,2.789826632,3.89175415,2.453814745,0.9421337843,2.227791071,-0.04234653711,0.5185185075,0
IRSTD-1K,XDU919,3,1,0,0.467639327,0.6621058583,0.4851724505,0.3484322727,1.117745757,1.493914962,1.201195359,0.7570242286,0.9555622935,-0.1468340456,0.5185185075,0
IRSTD-1K,XDU919,4,1,0,0.430457145,0.3685736656,0.2491930276,0.202587828,0.9813868403,0.9796485305,0.9741213322,0.9965773225,0.9767989516,-0.001964449883,0.5185185075,0
IRSTD-1K,XDU781,1,1,1,0.5655959249,0.6757209301,0.7715924382,0.7715924382,3.26695919,7.189135551,1.946718454,nan,1.946718454,nan,0.3846153915,0
IRSTD-1K,XDU781,2,1,1,0.7942935228,0.766967535,0.7264611721,0.7121983767,1.087155819,1.920909405,2.156057119,1.082728028,1.838886976,0.05672305822,0.3846153915,0
IRSTD-1K,XDU781,3,1,0,0.6514509916,0.6458581686,0.593467176,0.5764039159,0.329322964,0.4123554528,0.7169306278,0.976123929,0.5484361053,-0.01173236966,0.3846153915,0
