dataset,sample_id,stage,stage_enabled,stage_used_as_decoder_skip,R_high_low,R_high_residual,R_high_high_raw,R_high_high_hat,low_fg_bg,residual_fg_bg,high_raw_fg_bg,gate_fg_bg,high_hat_fg_bg,gate_fg_minus_bg,pred_iou,pred_has_false_alarm
NUAA-SIRST,Misc_312,3,1,0,0.6950744987,0.6644350886,0.6996631026,0.694137454,1.088448286,2.113536358,2.574404716,0.9183837175,2.562657356,-0.04877543449,0.8205128312,0
NUAA-SIRST,Misc_312,4,1,0,0.5212893486,0.4317153692,0.4249735773,0.4327063859,1.100029707,1.070425391,1.065876722,1.001448035,1.062553287,0.0009085536003,0.8205128312,0
NUAA-SIRST,Misc_117,1,1,1,0.5056885481,0.6800307631,0.6800307631,0.6800307631,3.75619173,14.66258049,14.66258049,nan,14.66258049,nan,0.4883720875,0
NUAA-SIRST,Misc_117,2,1,1,0.8587016463,0.8378280401,0.8401895165,0.8383920193,3.588468313,3.943885803,4.011812687,1.161577344,4.418735981,0.09309494495,0.4883720875,0
NUAA-SIRST,Misc_117,3,1,0,0.7051506042,0.6765441298,0.6776911616,0.6739915013,0.6414245963,1.487315774,1.846666932,0.9368444681,1.807404876,-0.03659015894,0.4883720875,0
NUAA-SIRST,Misc_117,4,1,0,0.5951746106,0.5387102962,0.517231524,0.4994373024,0.1243219078,0.3753326833,0.4465920329,1.065501928,0.5068888664,0.03918492794,0.4883720875,0
NUAA-SIRST,Misc_197,1,1,1,0.407827884,0.6339698434,0.6339698434,0.6339698434,1.473019958,13.99079609,13.99079609,nan,13.99079609,nan,0.7878788114,0
NUAA-SIRST,Misc_197,2,1,1,0.7731104493,0.7275921702,0.7391265631,0.7569999695,3.569315672,3.272747993,3.295725584,1.139778376,3.509563684,0.08285045624,0.7878788114,0
NUAA-SIRST,Misc_197,3,1,0,0.6258175373,0.5709143877,0.5998584032,0.6076974273,0.7637476921,1.865486264,2.237076044,0.9726080298,2.302170038,-0.01609051228,0.7878788114,0
NUAA-SIRST,Misc_197,4,1,0,0.6000333428,0.5742881298,0.5444049239,0.525603354,1.210317135,1.233801603,1.211252809,0.9806389809,1.176074982,-0.01187539101,0.7878788114,0
NUAA-SIRST,Misc_292,1,1,1,0.3706305325,0.5857414007,0.5857414007,0.5857414007,1.510232449,19.36475372,19.36475372,nan,19.36475372,nan,0.6666666865,0
NUAA-SIRST,Misc_292,2,1,1,0.7454685569,0.7290000319,0.7200670838,0.7288863659,4.263399601,3.811844587,3.717983007,1.130569935,3.888463974,0.07800060511,0.6666666865,0
NUAA-SIRST,Misc_292,3,1,0,0.3469639421,0.4520245492,0.4849542677,0.4940012693,1.122980714,1.27307725,1.43653357,0.9733698368,1.449833632,-0.01572757959,0.6666666865,0
NUAA-SIRST,Misc_292,4,1,0,0.3526960313,0.2747637928,0.2626321316,0.2477846146,1.148074865,1.102226496,1.094989061,1.000684738,1.087895393,0.0004299879074,0.6666666865,0
NUAA-SIRST,Misc_145,1,1,1,0.5915978551,0.6289348006,0.6289348006,0.6289348006,3.323706388,38.79146576,38.79146576,nan,38.79146576,nan,0.6388888955,0
NUAA-SIRST,Misc_145,2,1,1,0.7625520825,0.7402040958,0.7474926114,0.7554201484,3.482090473,3.390114784,3.5774014,1.163327932,3.711984396,0.08918231726,0.6388888955,0
NUAA-SIRST,Misc_145,3,1,0,0.5082969069,0.4449429214,0.4598208368,0.4560611844,0.5201752186,0.889275372,1.204180479,0.950389266,1.198147416,-0.02841114998,0.6388888955,0
NUAA-SIRST,Misc_145,4,1,0,0.2167234868,0.412424773,0.3923095763,0.3710669279,1.031916142,0.5801787972,0.6349871159,1.207473516,0.7086617947,0.1084930301,0.6388888955,0
NUAA-SIRST,Misc_376,1,1,1,0.3826620877,0.6233615279,0.6233615279,0.6233615279,2.234368086,12.12866306,12.12866306,nan,12.12866306,nan,0.7209302187,0
NUAA-SIRST,Misc_376,2,1,1,0.8172158599,0.800491631,0.7951285243,0.7950302958,3.308626413,3.578792572,3.536475658,1.092756748,3.61860466,0.0536814332,0.7209302187,0
